idx,A,B,C,mu,alpha,ehomo,elumo,egap,R2,zpve,U0,U,H,G,Cv,E
804,2.93717,0.63171,0.59639,4.4295,90.08,-0.02851,-0.23789,0.20938,2072.5829,0.23246,-464.709005,-464.696873,-464.695929,-464.747147,45.019,-464.941464997
805,3.0716,0.51296,0.49163,3.9295,89.95,-0.00895,-0.24296,0.23401,2408.5302,0.231188,-464.704851,-464.691975,-464.69103,-464.745959,46.051,-464.93603929
807,3.10255,0.5148,0.49207,2.9685,89.97,-0.01171,-0.24564,0.23393,2411.7581,0.231167,-464.705509,-464.693519,-464.692575,-464.74352,44.112,-464.93667674
811,2.07464,0.65108,0.57749,3.2042,89.75,-0.0103,-0.23611,0.22581,2095.054,0.231937,-464.699713,-464.687102,-464.686158,-464.739117,45.752,-464.931649805
815,2.34963,0.59649,0.55519,3.1252,90.45,-0.00791,-0.23187,0.22396,2198.9738,0.232025,-464.702365,-464.689656,-464.688711,-464.742097,45.73,-464.934390319
824,3.07604,0.51035,0.48978,2.7244,89.85,-0.01196,-0.24478,0.23282,2413.5863,0.23122,-464.705536,-464.692715,-464.691771,-464.745521,46.054,-464.936756576
828,3.07605,0.51035,0.48978,2.7247,89.85,-0.01196,-0.24478,0.23282,2413.5924,0.23122,-464.705536,-464.692715,-464.691771,-464.745523,46.055,-464.936756568
831,3.10573,0.51952,0.49623,2.9463,90.12,-0.00407,-0.23842,0.23435,2399.0911,0.231262,-464.707111,-464.694292,-464.693348,-464.747073,46.057,-464.938373622
833,2.82157,0.64026,0.61949,4.57,89.94,-0.03072,-0.2374,0.20668,2032.5361,0.232717,-464.706725,-464.694609,-464.693665,-464.74494,44.914,-464.939441251
834,3.10131,0.52393,0.49847,1.3821,90.17,-0.00743,-0.24236,0.23493,2385.0538,0.231491,-464.707458,-464.694792,-464.693848,-464.746803,45.874,-464.938948059
837,2.66189,0.85326,0.83188,5.1941,82.89,-0.03171,-0.26384,0.23213,1478.938,0.131858,-438.870615,-438.861908,-438.860964,-438.905161,32.458,-439.00247304
838,2.67164,0.86265,0.82111,2.8349,83.16,-0.02537,-0.2586,0.23323,1481.693,0.131868,-438.871013,-438.862305,-438.861361,-438.905787,32.443,-439.002881188
850,1.92404,0.55384,0.46289,3.699,94.73,0.03365,-0.2469,0.28055,2499.3002,0.245873,-444.840738,-444.827982,-444.827037,-444.882607,44.637,-445.086611088
851,2.2155,0.49581,0.45503,3.7548,94.89,0.03378,-0.24559,0.27937,2578.3071,0.246181,-444.83976,-444.827132,-444.826188,-444.880182,44.559,-445.085941722
852,2.19996,0.5242,0.47231,3.7186,94.29,0.0329,-0.24623,0.27913,2483.9449,0.246236,-444.839037,-444.826419,-444.825475,-444.879346,44.549,-445.085273659
853,2.74844,0.44182,0.4073,3.8102,95.31,0.03389,-0.24545,0.27934,2789.9699,0.245976,-444.839562,-444.826795,-444.825851,-444.880916,44.682,-445.085538403
854,3.06407,0.46251,0.45035,3.8865,94.64,0.0339,-0.2454,0.2793,2583.6817,0.246428,-444.838023,-444.8255,-444.824555,-444.878231,44.443,-445.084451558
855,3.8329,0.41446,0.40302,3.8008,95.27,0.03387,-0.24563,0.2795,2813.8465,0.246151,-444.837067,-444.824389,-444.823445,-444.877766,44.593,-445.083217611
856,2.49284,0.44414,0.39893,3.6821,95.33,0.03386,-0.24547,0.27933,2836.5961,0.246036,-444.841161,-444.828429,-444.827485,-444.88162,44.671,-445.087196765
857,1.83915,0.59187,0.48621,3.6662,94.2,0.03265,-0.24633,0.27898,2403.4661,0.246184,-444.838983,-444.826339,-444.825395,-444.879285,44.597,-445.085166928
858,1.85918,0.6756,0.54756,3.5614,94.23,0.03113,-0.25048,0.28161,2188.6444,0.24654,-444.839936,-444.827485,-444.826541,-444.879375,44.416,-445.086475761
859,3.74162,0.38055,0.37055,3.8185,95.72,0.03397,-0.24538,0.27935,3045.8287,0.245898,-444.841145,-444.828338,-444.827394,-444.882498,44.68,-445.087042258
860,1.59968,0.73645,0.62723,3.6065,93.95,0.03126,-0.25054,0.2818,2046.4909,0.246619,-444.839988,-444.827587,-444.826643,-444.879455,44.338,-445.086607559
863,1.52391,0.80401,0.59734,3.6486,93.92,0.0309,-0.24765,0.27855,2039.347,0.246715,-444.838959,-444.826586,-444.825642,-444.878241,44.369,-445.085674027
864,1.79834,0.72744,0.61137,3.5507,93.6,0.03116,-0.2505,0.28166,2035.7452,0.246714,-444.838619,-444.826311,-444.825366,-444.877733,44.274,-445.085333429
865,1.92449,0.55374,0.46286,3.6994,94.73,0.03366,-0.24689,0.28055,2499.4635,0.245873,-444.840738,-444.827981,-444.827037,-444.882596,44.637,-445.08661107
867,3.02037,0.41689,0.4122,3.8606,95.18,0.03382,-0.24534,0.27916,2816.2502,0.246067,-444.839653,-444.82695,-444.826006,-444.880341,44.623,-445.085719953
868,2.43456,0.48618,0.44437,3.7304,95.01,0.03407,-0.24693,0.281,2616.0314,0.246119,-444.840409,-444.827749,-444.826805,-444.881354,44.569,-445.086527906
869,2.62282,0.47793,0.45765,3.7114,94.85,0.03434,-0.24595,0.28029,2572.6524,0.246332,-444.838151,-444.825545,-444.824601,-444.879489,44.471,-445.084482799
871,2.24617,0.5134,0.46001,3.7071,94.5,0.03257,-0.24646,0.27903,2536.0093,0.246256,-444.839054,-444.826456,-444.825512,-444.879203,44.548,-445.085310327
874,3.43722,0.41499,0.39939,3.844,95.22,0.03383,-0.24535,0.27918,2838.4518,0.246116,-444.839568,-444.826861,-444.825916,-444.880341,44.597,-445.085684019
876,2.56248,0.47584,0.43064,3.6873,95.15,0.0338,-0.24731,0.28111,2664.2758,0.246157,-444.84047,-444.827826,-444.826882,-444.881211,44.549,-445.08662658
878,2.329,0.46737,0.41188,3.6799,95.31,0.03376,-0.24686,0.28062,2765.6676,0.245827,-444.84211,-444.82934,-444.828396,-444.883318,44.689,-445.087937826
879,2.54772,0.47443,0.42481,3.6614,94.91,0.0339,-0.24544,0.27934,2671.6098,0.246054,-444.839733,-444.827013,-444.826069,-444.880487,44.648,-445.085786972
881,2.62187,0.478,0.45768,3.7113,94.85,0.03435,-0.24595,0.2803,2572.5081,0.246335,-444.838149,-444.825544,-444.8246,-444.879457,44.47,-445.084483117
884,1.88967,0.51802,0.43394,4.2048,95.69,0.03413,-0.24642,0.28055,2629.8385,0.246245,-444.837408,-444.824776,-444.823832,-444.87785,44.548,-445.083653151
885,3.57987,0.42452,0.40634,4.4575,95.05,0.03259,-0.2423,0.27489,2774.6894,0.24619,-444.833021,-444.820305,-444.81936,-444.873582,44.617,-445.079211189
887,1.96374,0.61198,0.54412,3.6802,93.8,0.03361,-0.24575,0.27936,2231.37,0.246466,-444.836887,-444.824397,-444.823453,-444.877783,44.365,-445.083352627
